Clapeyron Database File,,,,,,,,,,
SAFTVRMie Like Parameters,,,,,,,,,,
species,CAS,Mw,segment,sigma,epsilon,lambda_r,lambda_a,n_H,n_e,source

C2MIMSCN,331717-63-6,169.25,7.0335431,3.1977229,295.5409310,12,6,2,2,correlation
C4MIMSCN,344790-87-0,197.30,7.3967477,3.3325409,301.1019309,12,6,2,2,correlation
C6MIMSCN,847499-74-5,225.36,7.8881804,3.4819064,307.8110107,12,6,2,2,correlation
C8MIMTFO,403842-84-2,344.40,8.7140850,3.6750598,317.3817997,12,6,2,2,correlation
C2MIMTF2N,174899-82-2,391.30,8.5085852,3.6323094,315.1740556,12,6,2,2,correlation
C4MIMTF2N,174899-83-3,419.40,9.1677652,3.7596752,321.9053680,12,6,2,2,correlation
C5MIMTF2N,280779-53-5,433.40,9.0603660,3.7407451,320.8754364,12,6,2,2,correlation
C6MIMTF2N,382150-50-7,447.40,9.2985970,3.7819002,323.1278677,12,6,2,2,correlation
C8MIMTF2N,178631-04-4,475.50,9.7417698,3.8510601,327.0249031,12,6,2,2,correlation

C2MIMSCN2B,331717-63-6,169.25,5.3605958,3.5181229,349.2440739,12,6,1,1,correlation
C4MIMSCN2B,344790-87-0,197.30,5.7405959,3.6406232,349.0475015,12,6,1,1,correlation
C6MIMSCN2B,847499-74-5,225.36,6.2547538,3.7730735,348.8195523,12,6,1,1,correlation
C8MIMTFO2B,403842-84-2,344.40,7.1188503,3.9389475,348.5106287,12,6,1,1,correlation
C2MIMTF2N2B,174899-82-2,391.30,6.9038477,3.9027769,348.5802676,12,6,1,1,correlation
C4MIMTF2N2B,174899-83-3,419.40,7.5935099,4.0096087,348.3708507,12,6,1,1,correlation
C5MIMTF2N2B,280779-53-5,433.40,7.4811443,3.9939087,348.4023378,12,6,1,1,correlation
C6MIMTF2N2B,382150-50-7,447.40,7.7303917,4.0279611,348.3337305,12,6,1,1,correlation
C8MIMTF2N2B,178631-04-4,475.50,8.1940579,4.0845109,348.2172069,12,6,1,1,correlation

C2MIMBF4_2B,143314-16-3,197.97,5.3864159,3.5115906,345.60517,12,6,1,1,clapeyron
C4MIMBF4_2B,174501-65-6,226.03,5.7920932,3.6668119,347.52105,12,6,1,1,clapeyron
C4MIMPF6_2B,174501-64-5,284.18,6.0820017,3.7347139,352.83694,12,6,1,1,clapeyron
C6MIMBF4_2B,244193-50-8,254.08,6.2688300,3.7776158,355.65283,12,6,1,1,clapeyron
C6MIMPF6_2B,304680-35-1,312.24,6.4920745,3.8348238,343.78436,12,6,1,1,clapeyron
C8MIMBF4_2B,244193-52-0,282.13,6.7280681,3.8659279,350.81074,12,6,1,1,clapeyron
C8MIMPF6_2B,304680-36-2,340.29,6.9816477,3.9100796,345.52367,12,6,1,1,clapeyron

C2MIMBF4,143314-16-3,197.97,7.0668169,3.1888515,287.41507,12,6,2,2,clapeyron
