abbreviation,parameter,unit

Critical Single Parameters,,
Tc,critical temperature,K
Pc,critical pressure,Pa
Vc,critical volume,m3
acentricfactor,acentric factor,dimensionless
Molar Mases Single Params,,
Mw,molar mass,gmol-1

sCPA Assoc Parameters,,
epsilon_assoc,association energy,barLmol-1
bondvol,association volume,dimensionlessE+03

sCPA Like Parameters,,
b,co-volume parameter,Lmol-1
a,parameter in the energy term,barL2mol-2
c1,parameter in the energy term,dimensionless
c,???,???
n_H,lewis proton?,dimensionless
n_e,lewis electron?,dimensionless
